Time,FTD Quantity,FTD Price
3/12/2021,155658,260
3/11/2021,10818,265
3/10/2021,22839,246.9
3/9/2021,17382,194.5
3/8/2021,1907,137.74
3/5/2021,33363,132.35
3/4/2021,20176,124.18
3/3/2021,15394,118.18
3/2/2021,26373,120.4
3/1/2021,82708,101.74
2/26/2021,298018,108.73
2/25/2021,29072,91.71
2/24/2021,173307,44.97
2/23/2021,14856,46
2/22/2021,1910,40.59
2/19/2021,16734,40.69
2/18/2021,8435,45.94
2/17/2021,52861,49.51
2/16/2021,5218,52.4
2/12/2021,15102,51.1
2/11/2021,1534,51.2
2/10/2021,99,50.31
2/9/2021,22796,60
2/8/2021,304,63.77
2/5/2021,27307,53.5
2/4/2021,88767,92.41
2/3/2021,47564,90
2/2/2021,159298,225
2/1/2021,10975,325
1/29/2021,138179,193.6
1/28/2021,1032986,347.51
1/27/2021,1972862,147.98
1/26/2021,2099572,76.79
1/25/2021,275113,65.01
1/22/2021,273600,43.03
1/21/2021,1438994,39.12
1/20/2021,1007562,39.36
1/19/2021,1498576,35.5
1/15/2021,892653,39.91
1/14/2021,621483,31.4
1/13/2021,662524,19.95
1/12/2021,287730,19.94
1/11/2021,703110,17.69
1/8/2021,555658,18.08
1/7/2021,799328,18.36
1/6/2021,772112,17.37
1/5/2021,490723,17.25
1/4/2021,182269,18.84
12/31/2020,228358,19.26
12/30/2020,648513,19.38
12/29/2020,283294,20.99
12/28/2020,351316,20.15
12/24/2020,839699,20.57
12/23/2020,700507,19.46
12/22/2020,744478,15.53
12/21/2020,619404,15.63
12/18/2020,872523,14.83
12/17/2020,500162,13.85
12/16/2020,10784,13.85
12/15/2020,170655,12.72
12/14/2020,284296,13.31
12/11/2020,880063,14.12
12/10/2020,605975,13.66
12/9/2020,721361,16.94
12/8/2020,872292,16.35
12/7/2020,1002379,16.9
12/4/2020,999475,16.12
12/3/2020,1787191,16.58
12/2/2020,1061397,15.8
12/1/2020,91971,16.56
11/30/2020,21936,16.08
11/27/2020,163516,14.75
11/25/2020,143331,13.67
11/24/2020,535217,13.9
11/23/2020,46998,12.71
11/20/2020,971,12.46
11/19/2020,20322,11.57
11/18/2020,19886,11.63
11/17/2020,48023,12.06
11/16/2020,94799,11.01
11/13/2020,15899,11.13
11/12/2020,55047,11.75
11/11/2020,0,0
11/10/2020,60526,11.49
11/9/2020,110340,11.86
11/6/2020,245253,11.45
11/5/2020,8661,10.91
11/4/2020,16776,11.57
11/3/2020,8353,10.75
11/2/2020,10141,10.47
10/30/2020,11780,11.73
10/29/2020,40619,11.82
10/28/2020,133541,12.69
10/27/2020,254372,13.45
10/26/2020,221129,15
10/23/2020,144317,14.91
10/22/2020,168358,14.1
10/21/2020,19853,13.86
10/20/2020,210863,13.91
10/19/2020,139512,13.31
10/16/2020,42481,13.83
10/15/2020,81962,12.25
10/14/2020,1020779,11.88
10/13/2020,3210148,11.8
10/12/2020,0,0
10/9/2020,287410,13.49
10/8/2020,43355,9.36
10/7/2020,2112,9.13
10/6/2020,45728,9.46
10/5/2020,77344,9.39
10/2/2020,198726,9.77
10/1/2020,380564,10.2
9/30/2020,28263,10.35
9/29/2020,295322,10.09
9/28/2020,499879,10.02
9/25/2020,901845,9.14
9/24/2020,650946,10.04
9/23/2020,1004290,10.56
9/22/2020,2655764,8.75
9/21/2020,709333,9.47
9/18/2020,847632,9.2
9/17/2020,598737,8.68
9/16/2020,884485,7.09
