time|open|high|low|close|volume
1598288400000|4.78|4.8|4.72|4.79|2761
1598292000000|4.8|4.83|4.77|4.79|2678
1598295600000|4.79|4.89|4.76|4.87|6913
1598362200000|4.88|5.25|4.88|5.21|9075
1598364000000|5.22|5.23|4.9|5.03|5183
1598367600000|5.02|5.07|4.97|4.98|4351
1598371200000|4.98|5.02|4.94|4.94|1795
1598374800000|4.94|5.02|4.93|5.0|1114
1598378400000|5.0|5.02|4.96|5.0|1526
1598382000000|4.99|5.02|4.96|4.98|4098
1598448600000|4.97|5.0|4.91|5.0|1405
1598450400000|5.0|5.16|4.98|5.11|3670
1598454000000|5.1|5.19|5.08|5.16|3517
1598457600000|5.16|5.16|5.09|5.11|1162
1598461200000|5.11|5.22|5.09|5.18|2875
1598464800000|5.19|5.21|5.14|5.19|2453
1598468400000|5.18|5.19|5.03|5.11|9994
1598535000000|5.11|5.38|5.08|5.09|7536
1598536800000|5.09|5.19|5.02|5.18|6635
1598540400000|5.17|5.17|5.1|5.15|2126
1598544000000|5.15|5.15|5.1|5.11|2285
1598547600000|5.11|5.17|5.09|5.17|2444
1598551200000|5.16|5.25|5.16|5.19|2472
1598554800000|5.19|5.26|5.18|5.25|7423
1598621400000|5.3|5.42|5.22|5.33|4410
1598623200000|5.35|5.47|5.22|5.22|10190
1598626800000|5.22|5.33|5.21|5.33|3521
1598630400000|5.32|5.38|5.32|5.37|2054
1598634000000|5.37|5.47|5.37|5.46|2064
1598637600000|5.47|5.57|5.44|5.46|5229
1598641200000|5.46|5.54|5.32|5.39|11562
1598880600000|5.77|6.79|5.69|6.64|41279
1598882400000|6.63|6.82|6.11|6.44|60094
1598886000000|6.44|6.45|5.96|6.28|36455
1598889600000|6.29|6.87|6.24|6.78|44498
1598893200000|6.78|6.98|6.53|6.94|40602
1598896800000|6.95|7.13|6.74|6.98|60196
1598900400000|6.98|7.15|6.51|6.69|71177
1598967000000|7.3|7.49|6.81|6.83|30169
1598968800000|6.81|7.62|6.77|7.42|52356
1598972400000|7.42|7.47|7.02|7.1|23266
1598976000000|7.11|7.6|7.1|7.5|24478
1598979600000|7.5|7.7|7.44|7.5|21532
1598983200000|7.5|7.54|7.32|7.49|13461
1598986800000|7.49|7.82|7.46|7.66|42899
1599053400000|7.8|8.05|7.11|7.34|36418
1599055200000|7.34|7.66|7.29|7.6|20857
1599058800000|7.59|7.84|7.35|7.39|18746
1599062400000|7.38|7.7|7.34|7.67|8338
1599066000000|7.67|7.79|7.57|7.61|9673
1599069600000|7.61|7.65|7.53|7.6|5776
1599073200000|7.6|7.71|7.54|7.71|16322
1599139800000|7.88|8.15|7.75|8.12|23519
1599141600000|8.12|8.45|7.41|7.64|40088
1599145200000|7.64|7.64|7.31|7.38|16209
1599148800000|7.38|7.6|7.35|7.42|7129
1599152400000|7.42|7.45|7.24|7.43|13761
1599156000000|7.43|7.52|7.38|7.46|6474
1599159600000|7.45|7.86|7.35|7.81|24485
1599226200000|7.78|7.92|7.57|7.6|8808
1599228000000|7.6|7.76|7.17|7.5|18663
1599231600000|7.5|7.67|7.37|7.64|7120
1599235200000|7.65|7.79|7.5|7.53|10451
1599238800000|7.52|7.57|7.42|7.54|5708
1599242400000|7.54|7.73|7.52|7.65|9700
1599246000000|7.65|7.73|7.59|7.64|10281
1599571800000|7.55|7.97|7.48|7.95|12251
1599573600000|7.96|8.22|7.95|8.16|21989
1599577200000|8.15|8.28|7.83|8.13|14321
1599580800000|8.14|8.18|7.98|8.12|8392
1599584400000|8.13|8.13|7.9|7.92|8490
1599588000000|7.92|7.96|7.68|7.85|13120
1599591600000|7.84|7.89|7.67|7.69|12371
1599658200000|7.96|7.99|7.43|7.6|9523
1599660000000|7.6|7.68|7.38|7.53|9246
1599663600000|7.54|7.65|7.37|7.42|8826
1599667200000|7.42|7.59|7.41|7.52|5787
1599670800000|7.51|7.55|7.41|7.43|5673
1599674400000|7.43|7.46|7.35|7.38|6274
1599678000000|7.37|7.47|7.31|7.35|17751
1599744600000|6.65|6.95|6.23|6.48|40553
1599746400000|6.48|6.87|6.33|6.78|38237
1599750000000|6.78|6.78|6.57|6.64|9223
1599753600000|6.64|6.68|6.49|6.5|8311
1599757200000|6.5|6.55|6.34|6.4|12224
1599760800000|6.4|6.49|6.27|6.31|11471
1599764400000|6.3|6.33|6.19|6.23|16378
1599831000000|6.26|6.27|5.87|6.08|20047
1599832800000|6.08|6.27|6.06|6.17|9274
1599836400000|6.17|6.33|6.16|6.18|6375
1599840000000|6.17|6.18|6.01|6.08|4853
1599843600000|6.08|6.13|6.02|6.1|3369
1599847200000|6.1|6.19|6.09|6.16|2628
1599850800000|6.16|6.16|6.04|6.09|7176
1600090200000|6.8|7.0|6.43|6.59|20272
1600092000000|6.59|6.76|6.48|6.62|12295
1600095600000|6.61|6.71|6.54|6.63|6381
1600099200000|6.63|6.78|6.59|6.73|15767
