SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20210104|025072885|AVUS|2542|AMERICAN CENTY ETF TR AVANTIS |63.00
20210104|25434V104|DFAU|148349|DIMENSIONAL ETF TR|26.29
20210104|25460G815|RETL|520|DIREXION DAILY RETAIL BULL 3X |454.22
20210104|26924G706|GAMR|244|ETF MANAGERS TR WEDBUSH ETFMG |78.94
20210104|316092204|FDIS|16861|FIDELITY COVINGTON TR MSCI CON|71.50
20210104|36467W109|GME|182269|GAMESTOP CORP (HLDG CO) CL A|18.84
20210104|381430602|GSSC|1|GOLDMAN SACHS ETF TR ACTIVEBET|54.13
20210104|46137V183|EWSC|464|INVESCO|64.49
20210104|46137V480|XSVM|1|INVESCO S&P SMALLCAP VALUE WIT|34.92
20210104|46137V613|PRF|15|INVESCO EXCHANGE-TRADED FD TR |133.20
20210104|46138E180|PSCD|292|INVESCO S&P SMALLCAP CONSUMER |81.45
20210104|46138E453|PBSM|1919|INVESCO ETF TR II PUREBETA MSC|33.54
20210104|46138G664|RWJ|2|INVESCO EXCHANGE-TRADED FD TR |81.10
20210104|46138J593|OMFS|4456|INVESCO EXCHANGE-TRADED SELF-I|32.95
20210104|464287150|ITOT|6444|ISHARES CORE S&P TOTAL U.S. ST|86.22
20210104|464287630|IWN|454|ISHARES RUSSELL2000 VAL ETF|131.75
20210104|464287655|IWM|7218|ISHARES RUSSELL 2000 ETF|196.06
20210104|464287887|IJT|8126|ISHARES S&P SMALL CAP 600 GROW|114.18
20210104|464288869|IWC|21209|RUSSELL MICRO CAP ETF|118.65
20210104|67092P607|NUSC|6728|NUVEEN ESG SMALL-CAP ETF|38.34
20210104|78464A201|SLYG|799|SPDR S&P 600 SMALL CAP GROWTH |76.37
20210104|78464A714|XRT|13189|SPDR SERIES TR SPDR S&P RETAIL|64.32
20210104|78464A805|SPTM|114|SPDR PORTFOLIO S&P 1500 COMPOS|46.09
20210104|78464A813|SLY|667|SPDR S&P 600 SMALL CAP ETF|79.54
20210104|78468R853|SPSM|4699|SPDR PORTFOLIO S&P 600 SMALL C|35.80
20210104|808524607|SCHA|509|SCHWAB STRATEGIC TR US SMALL-C|89.00
20210104|808524771|FNDX|33986|SCHWAB FUNDAMENTAL U S LARGE C|45.29
20210104|808524789|FNDB|371|SCHWAB FUNDAMENTAL U S BROAD M|44.90
