DT|TM|REBATE|FEE|AVAIL
2021.03.16|12:45:02|-6.2396|6.3096|4000
2021.03.16|13:45:03|-6.2396|6.3096|4000
2021.03.16|14:00:03|-6.2396|6.3096|4000
2021.03.16|14:15:03|-6.5117|6.5817|4000
2021.03.16|14:30:03|-6.5117|6.5817|4000
2021.03.16|14:45:03|-6.5117|6.5817|4000
2021.03.16|15:00:03|-6.5117|6.5817|4000
2021.03.16|15:15:03|-6.5117|6.5817|4000
2021.03.16|15:30:03|-6.5117|6.5817|4000
2021.03.16|15:45:03|-6.5117|6.5817|4000
2021.03.16|16:00:02|-6.5117|6.5817|4000
2021.03.16|16:15:03|-6.5299|6.5999|4000
2021.03.16|16:30:03|-6.5299|6.5999|4000
2021.03.16|16:45:02|-6.5299|6.5999|4000
2021.03.16|17:00:03|-6.5299|6.5999|4000
2021.03.16|17:15:03|-6.5299|6.5999|4000
2021.03.16|17:30:03|-6.5299|6.5999|4000
2021.03.16|17:45:03|-6.5299|6.5999|4000
2021.03.16|18:00:04|-6.5299|6.5999|4000
2021.03.16|18:15:03|-6.5299|6.5999|4000
2021.03.16|18:30:03|-6.5299|6.5999|4000
2021.03.16|18:45:04|-6.5299|6.5999|4000
2021.03.16|19:00:03|-6.5299|6.5999|4000
2021.03.16|19:15:03|-6.5299|6.5999|4000
2021.03.16|19:30:02|-6.5299|6.5999|4000
2021.03.16|19:45:02|-6.5299|6.5999|4000
2021.03.16|20:00:03|-6.5299|6.5999|4000
2021.03.16|20:15:03|-6.5299|6.5999|4000
2021.03.16|20:30:04|-6.5299|6.5999|4000
2021.03.16|20:45:03|-6.5299|6.5999|4000
2021.03.16|21:00:03|-6.5299|6.5999|4000
2021.03.16|21:15:03|-6.5299|6.5999|4000
2021.03.16|21:30:03|-6.5299|6.5999|4000
2021.03.16|21:45:03|-6.5299|6.5999|4000
2021.03.16|22:00:03|-6.5299|6.5999|4000
2021.03.16|22:15:03|-6.5299|6.5999|4000
2021.03.16|22:30:03|-6.5299|6.5999|4000
2021.03.16|22:45:03|-6.5299|6.5999|4000
2021.03.16|23:00:04|-6.5299|6.5999|4000
2021.03.16|23:15:03|-6.5299|6.5999|4000
2021.03.16|23:30:03|-6.5299|6.5999|4000
2021.03.16|23:45:03|-6.5299|6.5999|4000
2021.03.17|00:00:02|-6.5299|6.5999|4000
2021.03.17|00:15:03|-6.5299|6.5999|4000
2021.03.17|00:30:03|-6.5299|6.5999|4000
2021.03.17|02:15:03|-6.5299|6.5999|1000
2021.03.17|02:30:03|-6.5299|6.5999|1000
2021.03.17|02:45:03|-6.5299|6.5999|1000
2021.03.17|03:00:02|-6.5299|6.5999|1000
2021.03.17|03:15:03|-6.5299|6.5999|1000
2021.03.17|03:30:04|-6.5299|6.5999|1000
2021.03.17|03:45:02|-6.5299|6.5999|1000
2021.03.17|04:00:03|-6.5299|6.5999|1000
2021.03.17|04:15:02|-6.5299|6.5999|1000
2021.03.17|04:30:03|-6.5299|6.5999|1000
2021.03.17|04:45:03|-6.5299|6.5999|1000
2021.03.17|05:00:03|-6.5299|6.5999|1000
2021.03.17|05:15:04|-6.5299|6.5999|1000
2021.03.17|05:30:02|-6.5299|6.5999|1000
2021.03.17|05:45:03|-6.5299|6.5999|1000
2021.03.17|06:00:03|-6.5299|6.5999|1000
2021.03.17|06:15:03|-6.5299|6.5999|800
2021.03.17|06:30:03|-6.5299|6.5999|800
2021.03.17|06:45:03|-6.5299|6.5999|800
2021.03.17|07:00:02|-6.5299|6.5999|800
2021.03.17|09:30:03|-6.5299|6.5999|2000
2021.03.17|09:45:03|-6.5299|6.5999|6000
2021.03.17|10:00:03|-6.5299|6.5999|6000
