DT|TM|REBATE|FEE|AVAIL
2022.10.21|04:15:04|-4.1829|7.2529|55000
2022.10.21|04:30:03|-4.1829|7.2529|55000
2022.10.21|04:45:03|-4.1829|7.2529|55000
2022.10.21|05:00:03|-4.1829|7.2529|55000
2022.10.21|05:15:03|-4.1829|7.2529|55000
2022.10.21|05:30:04|-4.1829|7.2529|55000
2022.10.21|05:45:03|-4.1829|7.2529|55000
2022.10.21|06:00:04|-4.1829|7.2529|55000
2022.10.21|06:15:03|-4.1829|7.2529|55000
2022.10.21|06:30:04|-4.1829|7.2529|55000
2022.10.21|06:45:03|-4.1829|7.2529|55000
2022.10.21|07:00:04|-4.1829|7.2529|55000
2022.10.21|07:15:04|-4.1829|7.2529|55000
2022.10.21|07:30:03|-4.1829|7.2529|50000
2022.10.21|07:45:04|-4.1829|7.2529|50000
2022.10.21|08:00:03|-4.1829|7.2529|50000
2022.10.21|08:15:03|-4.1829|7.2529|50000
2022.10.21|08:30:03|-4.1829|7.2529|50000
2022.10.21|08:45:03|-4.1829|7.2529|60000
2022.10.21|09:00:03|-4.1829|7.2529|60000
2022.10.21|09:15:03|-4.3907|7.4607|60000
2022.10.21|09:30:04|-4.3907|7.4607|60000
2022.10.21|09:45:03|-4.3907|7.4607|60000
2022.10.21|10:00:03|-4.3907|7.4607|60000
2022.10.21|10:15:04|-4.3907|7.4607|60000
2022.10.21|10:30:03|-4.3907|7.4607|60000
2022.10.21|10:45:04|-4.3907|7.4607|60000
2022.10.21|11:00:03|-4.3907|7.4607|60000
2022.10.21|11:15:04|-4.3907|7.4607|60000
2022.10.21|11:30:03|-4.3907|7.4607|65000
2022.10.21|11:45:03|-4.3907|7.4607|65000
2022.10.21|12:00:03|-4.3907|7.4607|65000
2022.10.21|12:15:03|-4.3907|7.4607|65000
2022.10.21|12:30:03|-4.3907|7.4607|65000
2022.10.21|12:45:03|-4.3907|7.4607|65000
2022.10.21|13:00:03|-4.3907|7.4607|65000
2022.10.21|13:15:03|-4.3907|7.4607|65000
2022.10.21|13:30:03|-4.3907|7.4607|65000
2022.10.21|13:45:03|-4.3907|7.4607|65000
2022.10.21|14:00:03|-4.3907|7.4607|65000
2022.10.21|14:15:03|-4.3907|7.4607|65000
2022.10.21|14:30:03|-4.3907|7.4607|65000
2022.10.21|14:45:03|-4.3907|7.4607|65000
2022.10.21|15:00:03|-4.3907|7.4607|65000
2022.10.21|15:15:04|-4.3907|7.4607|65000
2022.10.21|15:30:03|-4.3907|7.4607|65000
2022.10.21|15:45:03|-4.3907|7.4607|65000
2022.10.21|16:00:03|-4.3907|7.4607|65000
2022.10.21|16:15:04|-4.3907|7.4607|65000
2022.10.21|16:30:04|-4.3907|7.4607|60000
2022.10.21|16:45:03|-4.3907|7.4607|60000
2022.10.21|17:00:03|-4.3907|7.4607|60000
2022.10.21|17:15:03|-4.3907|7.4607|60000
2022.10.21|17:30:03|-4.3907|7.4607|60000
2022.10.21|17:45:03|-4.3907|7.4607|60000
