DT|TM|REBATE|FEE|AVAIL
2021.04.16|01:45:03|-0.1900|0.2500|300
2021.04.16|02:00:03|-0.1900|0.2500|300
2021.04.16|02:15:03|-0.1900|0.2500|300
2021.04.16|02:30:03|-0.1900|0.2500|300
2021.04.16|02:45:02|-0.1900|0.2500|300
2021.04.16|03:00:03|-0.1900|0.2500|300
2021.04.16|03:15:02|-0.1900|0.2500|300
2021.04.16|03:30:03|-0.1900|0.2500|300
2021.04.16|03:45:03|-0.1900|0.2500|300
2021.04.16|04:00:03|-0.1900|0.2500|300
2021.04.16|04:15:03|-0.1900|0.2500|300
2021.04.16|04:30:03|-0.1900|0.2500|300
2021.04.16|04:45:03|-0.1900|0.2500|300
2021.04.16|05:00:03|-0.1900|0.2500|300
2021.04.16|05:15:02|-0.1900|0.2500|300
2021.04.16|05:30:03|-0.1900|0.2500|300
2021.04.16|05:45:03|-0.1900|0.2500|300
2021.04.16|06:00:03|-0.1900|0.2500|300
2021.04.16|06:15:03|-0.1900|0.2500|300
2021.04.16|06:30:03|-0.1900|0.2500|300
2021.04.16|06:45:03|-0.1900|0.2500|300
2021.04.16|07:00:04|-0.1900|0.2500|300
2021.04.16|07:15:03|-0.1900|0.2500|300
2021.04.16|07:30:03|-0.1900|0.2500|300
2021.04.16|07:45:02|-0.1900|0.2500|300
2021.04.16|08:00:03|-0.1900|0.2500|300
2021.04.16|08:15:03|-0.1900|0.2500|300
2021.04.16|08:30:02|-0.1900|0.2500|300
2021.04.16|08:45:03|-0.1900|0.2500|300
2021.04.16|09:00:03|-0.1900|0.2500|300
2021.04.16|09:15:02|-0.1900|0.2500|300
2021.04.16|09:30:03|-0.1900|0.2500|300
2021.04.16|09:45:03|-0.1900|0.2500|300
2021.04.16|10:00:03|-0.1900|0.2500|300
2021.04.16|10:15:03|-0.1900|0.2500|300
2021.04.16|10:30:03|-0.1900|0.2500|300
2021.04.16|10:45:03|-0.1900|0.2500|300
2021.04.16|11:00:03|-0.1900|0.2500|300
2021.04.16|11:15:03|-0.1900|0.2500|300
2021.04.16|11:30:03|-0.1900|0.2500|300
2021.04.16|11:45:02|-0.1900|0.2500|300
2021.04.16|12:00:03|-0.1900|0.2500|300
2021.04.16|12:15:03|-0.1900|0.2500|300
2021.04.16|12:30:02|-0.1900|0.2500|300
2021.04.16|12:45:03|-0.1900|0.2500|300
2021.04.16|13:00:03|-0.1900|0.2500|300
2021.04.16|13:15:03|-0.1900|0.2500|300
2021.04.16|13:30:02|-0.1900|0.2500|300
2021.04.16|13:45:03|-0.1900|0.2500|300
2021.04.16|14:00:03|-0.1900|0.2500|300
2021.04.16|14:15:03|-0.1900|0.2500|300
2021.04.16|14:30:03|-0.1900|0.2500|300
2021.04.16|14:45:03|-0.1900|0.2500|300
2021.04.16|15:00:03|-0.1900|0.2500|300
2021.04.16|15:15:04|-0.1900|0.2500|300
2021.04.16|15:30:03|-0.1900|0.2500|300
2021.04.16|15:45:03|-0.1900|0.2500|300
2021.04.16|16:00:03|-0.1900|0.2500|300
2021.04.16|16:15:02|-0.1900|0.2500|300
2021.04.16|16:30:04|-0.1900|0.2500|300
2021.04.16|16:45:03|-0.1900|0.2500|300
2021.04.16|17:00:03|-0.1900|0.2500|300
2021.04.16|17:15:03|-0.1900|0.2500|300
2021.04.16|17:30:02|-0.1900|0.2500|300
2021.04.16|17:45:03|-0.1900|0.2500|300
