DT|TM|REBATE|FEE|AVAIL
2021.03.29|05:30:03|-11.5098|11.5798|500
2021.03.29|05:45:03|-11.5098|11.5798|500
2021.03.29|06:00:04|-11.5098|11.5798|500
2021.03.29|06:15:03|-11.5098|11.5798|500
2021.03.29|06:30:03|-11.5098|11.5798|500
2021.03.29|06:45:03|-11.5098|11.5798|500
2021.03.29|07:00:03|-11.5098|11.5798|500
2021.03.29|07:15:03|-11.5098|11.5798|500
2021.03.29|07:30:03|-11.5098|11.5798|500
2021.03.29|07:45:03|-11.5098|11.5798|500
2021.03.29|08:00:03|-11.5098|11.5798|500
2021.03.29|08:15:03|-11.5098|11.5798|500
2021.03.29|08:30:04|-11.5098|11.5798|500
2021.03.29|08:45:03|-11.5098|11.5798|500
2021.03.29|09:00:02|-11.5098|11.5798|500
2021.03.29|09:15:03|-11.5098|11.5798|500
2021.03.29|09:30:04|-11.5098|11.5798|500
2021.03.29|09:45:03|-11.5098|11.5798|400
2021.03.29|10:00:04|-11.5098|11.5798|400
2021.03.29|10:15:03|-11.5098|11.5798|400
2021.03.29|10:30:03|-11.5098|11.5798|400
2021.03.29|10:45:03|-11.5098|11.5798|400
2021.03.29|11:00:03|-11.5098|11.5798|400
2021.03.29|11:15:02|-11.5098|11.5798|400
2021.03.29|11:45:03|-11.5098|11.5798|400
2021.03.29|12:00:03|-11.5098|11.5798|400
2021.03.29|12:15:03|-7.2741|7.3441|400
2021.03.29|12:30:03|-7.2741|7.3441|400
2021.03.29|12:45:03|-7.2741|7.3441|400
2021.03.29|13:00:02|-7.2741|7.3441|400
2021.03.29|13:15:02|-7.2741|7.3441|400
2021.03.29|13:30:03|-7.2741|7.3441|400
2021.03.29|13:45:02|-7.2741|7.3441|400
2021.03.29|14:00:03|-7.2741|7.3441|400
2021.03.29|14:15:03|-7.2741|7.3441|400
2021.03.29|14:30:03|-7.2741|7.3441|400
2021.03.29|14:45:02|-7.2741|7.3441|400
2021.03.29|15:00:03|-7.2741|7.3441|400
2021.03.29|15:15:03|-7.2741|7.3441|400
2021.03.29|15:30:03|-7.2741|7.3441|400
2021.03.29|15:45:03|-7.2741|7.3441|400
2021.03.29|16:00:03|-7.2741|7.3441|400
2021.03.29|16:15:03|-7.2741|7.3441|500
2021.03.29|16:30:04|-7.2741|7.3441|500
2021.03.29|16:45:02|-7.2741|7.3441|500
2021.03.29|17:00:03|-7.2741|7.3441|500
2021.03.29|17:15:02|-11.5098|11.5798|500
2021.03.29|17:30:03|-11.5098|11.5798|500
2021.03.29|17:45:03|-11.5098|11.5798|500
