DT|TM|REBATE|FEE|AVAIL
2021.03.22|00:45:03|-1.7671|1.8371|7
2021.03.22|09:45:03|-1.7671|1.8371|100
2021.03.22|10:00:03|-1.7671|1.8371|100
2021.03.22|10:15:03|-1.7671|1.8371|100
2021.03.22|10:30:03|-1.7671|1.8371|100
2021.03.22|10:45:04|-1.7671|1.8371|100
2021.03.22|11:00:02|-1.7671|1.8371|100
2021.03.22|11:15:03|-1.7671|1.8371|100
2021.03.22|11:30:03|-1.7671|1.8371|100
2021.03.22|11:45:04|-1.7671|1.8371|100
2021.03.22|12:00:03|-1.7671|1.8371|100
2021.03.22|12:15:03|-1.1175|1.1875|100
2021.03.22|12:30:03|-1.1175|1.1875|100
2021.03.22|12:45:03|-1.1175|1.1875|100
2021.03.22|13:00:03|-1.1175|1.1875|100
2021.03.22|13:15:02|-1.1175|1.1875|100
2021.03.22|16:15:02|-1.1175|1.1875|100
2021.03.22|16:30:05|-1.1175|1.1875|100
2021.03.22|16:45:03|-1.1175|1.1875|100
2021.03.22|17:00:03|-1.1175|1.1875|100
2021.03.22|17:15:03|-1.1175|1.1875|100
2021.03.22|17:30:03|-1.1175|1.1875|100
2021.03.22|17:45:03|-1.1175|1.1875|100
2021.03.22|18:00:03|-1.1175|1.1875|100
2021.03.22|18:15:03|-1.1175|1.1875|100
2021.03.22|18:30:03|-1.1175|1.1875|100
2021.03.22|18:45:03|-1.1175|1.1875|100
2021.03.22|19:00:04|-1.1175|1.1875|100
2021.03.22|19:15:03|-1.1175|1.1875|100
2021.03.22|19:30:03|-1.1175|1.1875|100
2021.03.22|19:45:02|-1.1175|1.1875|100
2021.03.22|20:00:03|-1.1175|1.1875|100
2021.03.22|20:15:03|-1.1175|1.1875|100
2021.03.22|20:30:03|-1.1175|1.1875|100
2021.03.22|20:45:03|-1.1175|1.1875|100
2021.03.22|21:00:03|-1.1175|1.1875|100
2021.03.22|21:15:03|-1.1175|1.1875|100
2021.03.22|21:30:02|-1.1175|1.1875|100
2021.03.22|21:45:03|-1.1175|1.1875|100
2021.03.22|22:00:03|-1.1175|1.1875|100
2021.03.22|22:15:03|-1.1175|1.1875|100
2021.03.22|22:30:03|-1.1175|1.1875|100
2021.03.22|22:45:03|-1.1175|1.1875|100
2021.03.22|23:00:03|-1.1175|1.1875|100
2021.03.22|23:15:03|-1.1175|1.1875|100
2021.03.22|23:30:03|-1.1175|1.1875|100
2021.03.23|00:00:02|-1.1175|1.1875|100
2021.03.23|00:15:03|-1.1175|1.1875|100
2021.03.24|09:45:03|-1.0905|1.1605|100
2021.03.24|10:00:03|-1.0905|1.1605|100
2021.03.24|10:15:02|-1.0815|1.1515|100
2021.03.24|10:30:03|-1.0815|1.1515|100
2021.03.24|10:45:03|-1.0815|1.1515|100
2021.03.24|11:00:03|-1.0815|1.1515|100
2021.03.24|11:15:03|-1.0815|1.1515|100
2021.03.24|11:30:03|-1.0815|1.1515|100
2021.03.24|11:45:03|-1.0815|1.1515|100
2021.03.24|12:00:03|-1.0815|1.1515|100
2021.03.24|12:15:03|-1.0815|1.1515|100
2021.03.24|12:30:02|-1.0815|1.1515|200
2021.03.24|12:45:02|-1.0815|1.1515|200
2021.03.24|13:00:03|-1.0815|1.1515|200
2021.03.24|13:15:02|-1.0815|1.1515|200
2021.03.24|13:30:03|-1.0815|1.1515|200
2021.03.24|13:45:03|-1.0815|1.1515|200
2021.03.24|14:00:03|-1.0815|1.1515|200
2021.03.24|14:15:03|-1.0815|1.1515|200
2021.03.24|14:30:02|-1.0815|1.1515|200
2021.03.24|14:45:03|-1.0815|1.1515|200
2021.03.24|15:00:05|-1.0815|1.1515|200
2021.03.24|15:15:03|-1.0815|1.1515|200
2021.03.24|15:30:03|-1.0815|1.1515|200
2021.03.24|15:45:03|-1.0815|1.1515|200
2021.03.24|16:00:03|-1.0815|1.1515|200
2021.03.24|16:15:03|-1.0815|1.1515|200
2021.03.24|16:30:03|-1.0815|1.1515|200
2021.03.24|16:45:03|-1.0815|1.1515|200
2021.03.24|17:00:03|-1.0815|1.1515|200
2021.03.24|17:15:03|-1.0815|1.1515|200
2021.03.24|17:30:03|-1.0815|1.1515|200
2021.03.24|17:45:03|-1.0815|1.1515|200
2021.03.24|18:00:03|-1.0815|1.1515|200
2021.03.24|18:15:03|-1.0815|1.1515|200
2021.03.24|18:30:04|-1.0815|1.1515|200
2021.03.24|18:45:03|-1.0815|1.1515|200
2021.03.24|19:00:03|-1.0815|1.1515|200
2021.03.24|19:15:02|-1.0815|1.1515|200
2021.03.24|19:30:03|-1.0815|1.1515|200
2021.03.24|19:45:03|-1.0815|1.1515|200
2021.03.24|20:00:03|-1.0815|1.1515|200
2021.03.24|20:15:03|-1.0815|1.1515|200
2021.03.24|20:30:03|-1.0815|1.1515|200
2021.03.24|20:45:02|-1.0815|1.1515|200
2021.03.24|21:00:03|-1.0815|1.1515|200
2021.03.24|21:15:03|-1.0815|1.1515|200
2021.03.24|21:30:03|-1.0815|1.1515|200
2021.03.24|21:45:03|-1.0815|1.1515|200
2021.03.24|22:00:03|-1.0815|1.1515|200
2021.03.24|22:15:04|-1.0815|1.1515|200
2021.03.24|22:30:03|-1.0815|1.1515|200
2021.03.24|22:45:03|-1.0815|1.1515|100
2021.03.24|23:00:03|-1.0815|1.1515|100
2021.03.24|23:15:02|-1.0815|1.1515|100
2021.03.24|23:30:03|-1.0815|1.1515|100
2021.03.24|23:45:03|-1.0815|1.1515|100
2021.03.25|00:00:02|-1.0815|1.1515|100
2021.03.25|00:15:03|-1.0815|1.1515|100
2021.03.25|00:30:04|-1.0815|1.1515|100
2021.03.25|00:45:03|-1.0815|1.1515|300
2021.03.25|09:45:03|-1.0815|1.1515|500
2021.03.25|10:00:03|-1.0815|1.1515|500
2021.03.25|10:15:03|-1.0815|1.1515|500
2021.03.25|10:30:04|-1.0815|1.1515|500
2021.03.25|10:45:03|-1.0815|1.1515|500
2021.03.25|11:00:03|-1.0815|1.1515|500
2021.03.25|11:15:03|-1.0815|1.1515|500
2021.03.25|11:30:03|-1.0815|1.1515|500
2021.03.25|11:45:03|-1.0815|1.1515|500
2021.03.25|12:00:03|-1.0815|1.1515|500
2021.03.25|12:15:03|-1.0815|1.1515|500
2021.03.25|12:30:03|-1.0815|1.1515|500
2021.03.25|12:45:03|-1.0815|1.1515|500
2021.03.25|13:00:03|-1.0815|1.1515|500
2021.03.25|13:15:02|-1.0815|1.1515|500
2021.03.25|16:15:02|-1.2258|1.2958|100
2021.03.25|16:30:04|-1.2258|1.2958|100
2021.03.25|16:45:03|-1.2258|1.2958|100
2021.03.25|17:00:03|-1.2258|1.2958|100
2021.03.25|17:15:03|-1.2258|1.2958|100
2021.03.25|17:30:02|-1.2258|1.2958|100
2021.03.25|17:45:03|-1.2258|1.2958|100
2021.03.25|18:00:04|-1.2258|1.2958|100
2021.03.25|18:15:03|-1.2258|1.2958|100
2021.03.25|18:30:02|-1.2258|1.2958|100
2021.03.25|18:45:02|-1.2258|1.2958|100
2021.03.25|19:00:03|-1.2258|1.2958|100
2021.03.25|19:15:03|-1.2258|1.2958|100
2021.03.25|19:30:03|-1.2258|1.2958|100
2021.03.25|19:45:03|-1.2258|1.2958|100
2021.03.25|20:00:03|-1.2258|1.2958|100
2021.03.25|20:15:03|-1.2258|1.2958|100
2021.03.25|20:30:03|-1.2258|1.2958|100
2021.03.25|20:45:03|-1.2258|1.2958|100
2021.03.25|21:00:03|-1.2258|1.2958|100
2021.03.25|21:15:02|-1.2258|1.2958|100
2021.03.27|00:15:02|-1.2258|1.2958|100
2021.03.27|00:30:03|-1.2258|1.2958|100
2021.03.27|00:45:03|-1.2258|1.2958|100
2021.03.27|01:00:04|-1.2258|1.2958|100
2021.03.27|01:15:02|-1.2258|1.2958|100
2021.03.27|01:30:03|-1.2258|1.2958|100
2021.03.27|01:45:03|-1.2258|1.2958|100
2021.03.27|02:00:03|-1.2258|1.2958|100
2021.03.27|02:15:02|-1.2258|1.2958|100
2021.03.27|02:30:03|-1.2258|1.2958|100
2021.03.27|02:45:02|-1.2258|1.2958|100
2021.03.27|03:00:04|-1.2258|1.2958|100
2021.03.27|03:15:03|-1.2258|1.2958|100
2021.03.27|03:30:03|-1.2258|1.2958|100
2021.03.27|03:45:03|-1.2258|1.2958|100
2021.03.27|04:00:03|-1.2258|1.2958|100
2021.03.27|04:15:03|-1.2258|1.2958|100
2021.03.27|04:30:03|-1.2258|1.2958|100
2021.03.27|04:45:02|-1.2258|1.2958|100
2021.03.27|05:00:03|-1.2258|1.2958|100
2021.03.27|05:15:03|-1.2258|1.2958|100
2021.03.27|05:30:04|-1.2258|1.2958|100
2021.03.27|05:45:03|-1.2258|1.2958|100
2021.06.03|09:45:03|-10.9660|11.0060|100
2021.06.03|10:00:03|-10.9660|11.0060|100
2021.06.03|10:15:03|-10.9660|11.0060|100
2021.06.03|10:30:03|-10.9660|11.0060|100
2021.06.03|10:45:02|-10.9660|11.0060|100
2021.06.03|11:00:02|-10.9660|11.0060|100
2021.06.03|11:15:03|-10.9660|11.0060|600
2021.06.03|11:30:02|-10.9660|11.0060|600
2021.06.03|11:45:03|-10.9660|11.0060|600
2021.06.03|12:00:02|-10.9660|11.0060|600
2021.06.03|12:15:03|-10.9452|10.9952|600
2021.06.03|12:30:03|-10.9452|10.9952|600
2021.06.03|12:45:03|-10.9452|10.9952|600
2021.06.03|13:00:03|-10.9452|10.9952|600
2021.06.03|13:15:03|-10.9452|10.9952|600
2021.06.03|13:30:03|-10.9452|10.9952|600
2021.06.03|13:45:03|-10.9452|10.9952|600
2021.06.03|14:00:03|-10.9452|10.9952|600
2021.06.03|14:15:03|-10.9452|10.9952|600
2021.06.03|14:30:03|-10.9452|10.9952|500
2021.06.03|14:45:03|-10.9452|10.9952|500
2021.06.03|15:00:03|-10.9452|10.9952|500
2021.06.03|15:15:05|-10.9452|10.9952|500
2021.06.03|15:30:03|-10.9452|10.9952|500
2021.06.03|15:45:03|-10.9452|10.9952|500
2021.06.03|16:00:03|-10.9452|10.9952|500
2021.06.03|16:15:02|-11.9141|11.9641|500
2021.06.03|16:30:03|-11.9141|11.9641|500
2021.06.03|16:45:03|-11.9141|11.9641|500
2021.06.03|17:00:04|-11.9141|11.9641|500
2021.06.03|17:15:03|-11.9141|11.9641|500
2021.06.03|17:30:03|-11.9141|11.9641|500
2021.06.03|17:45:03|-11.9141|11.9641|500
