DT|TM|REBATE|FEE|AVAIL
2021.08.24|10:15:03|-5.5567|5.6367|10000
2021.08.24|10:30:03|-5.5567|5.6367|10000
2021.08.24|10:45:03|-5.5567|5.6367|10000
2021.08.24|11:00:03|-5.5567|5.6367|10000
2021.08.24|11:15:03|-5.5567|5.6367|10000
2021.08.24|11:30:03|-5.5567|5.6367|10000
2021.08.24|11:45:03|-5.5567|5.6367|10000
2021.08.24|12:00:03|-5.5567|5.6367|10000
2021.08.24|12:15:03|-5.5567|5.6367|10000
2021.08.24|12:30:03|-5.5567|5.6367|10000
2021.08.24|12:45:03|-5.5567|5.6367|10000
2021.08.24|13:00:03|-5.5567|5.6367|10000
2021.08.24|13:15:03|-5.5567|5.6367|10000
2021.08.24|13:30:03|-5.5567|5.6367|10000
2021.08.24|13:45:02|-5.5567|5.6367|10000
2021.08.24|14:00:07|-5.5567|5.6367|10000
2021.08.24|14:15:03|-5.5567|5.6367|10000
2021.08.24|14:30:03|-5.5567|5.6367|10000
2021.08.24|14:45:03|-5.5567|5.6367|10000
2021.08.24|15:00:03|-5.5567|5.6367|10000
2021.08.24|15:15:03|-5.5567|5.6367|10000
2021.08.24|15:30:03|-5.5567|5.6367|10000
2021.08.24|15:45:03|-5.5567|5.6367|10000
2021.08.24|16:00:04|-5.5567|5.6367|10000
2021.08.24|16:15:03|-5.5567|5.6367|10000
2021.08.24|16:30:03|-5.5567|5.6367|10000
2021.08.24|16:45:03|-5.5567|5.6367|10000
2021.08.24|17:00:03|-5.5567|5.6367|10000
2021.08.24|17:15:03|-5.5567|5.6367|10000
2021.08.24|17:30:04|-5.5567|5.6367|10000
2021.08.24|17:45:03|-5.5567|5.6367|10000
