Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20210804|A|186632|23|570285|B,Q,N
20210804|AA|791736|8396|1877718|B,Q,N
20210804|AAAU|20644|0|42840|Q,N
20210804|AAC|118|0|77472|Q
20210804|AAC/U|2400|0|1572532|Q
20210804|AACG|11111|0|18879|Q,N
20210804|AADR|23|0|146|Q
20210804|AAIC|48580|0|73304|Q,N
20210804|AAICpC|1666|0|1668|Q,N
20210804|AAIN|710|0|1180|Q
20210804|AAL|6252401|22352|13074586|B,Q,N
20210804|AAMC|620|0|1233|Q
20210804|AAME|4497|0|13696|Q,N
20210804|AAN|16633|1300|43750|Q,N
20210804|AAOI|76291|0|187379|B,Q,N
20210804|AAON|9707|0|23374|B,Q,N
20210804|AAP|91863|5|137973|B,Q,N
20210804|AAPL|8619138|52660|23007862|B,Q,N
20210804|AAQC|541|0|17633|Q,N
20210804|AAQC/U|1000|0|1980|Q
20210804|AAQC/WS|1500|0|47700|Q
20210804|AAT|14422|0|22664|B,Q,N
20210804|AATC|27212|0|81482|B,Q,N
20210804|AAU|57501|1000|138847|Q,N
20210804|AAWW|151581|200|188044|B,Q,N
20210804|AAXJ|98869|0|246981|Q,N
20210804|AB|65746|268|141243|Q,N
20210804|ABB|316416|100|451104|B,Q,N
20210804|ABBV|470971|1351|1249647|B,Q,N
20210804|ABC|268719|0|496557|B,Q,N
20210804|ABCB|28017|9|54871|Q,N
20210804|ABCL|148453|0|446556|B,Q,N
20210804|ABCM|36397|0|126308|B,Q,N
20210804|ABEO|176833|6001|339283|Q,N
20210804|ABEQ|2061|0|5756|Q
20210804|ABEV|2922902|20671|6647553|B,Q,N
20210804|ABG|23068|0|47816|B,Q,N
20210804|ABIO|53035|79|236458|B,Q,N
20210804|ABM|75912|0|96737|B,Q,N
20210804|ABMD|56569|0|83271|B,Q,N
20210804|ABNB|794978|8206|1498593|B,Q,N
20210804|ABOS|6020|0|38046|B,Q,N
20210804|ABR|221095|755|379671|Q,N
20210804|ABRpD|3025|0|8948|Q
20210804|ABSI|97479|127|307007|B,Q,N
20210804|ABST|12845|0|22470|Q,N
20210804|ABT|293183|890|843583|B,Q,N
20210804|ABTX|940|0|3820|Q,N
20210804|ABUS|165913|1115|465924|B,Q,N
20210804|ABVC|23605|0|45036|B,Q,N
20210804|AC|8637|0|18435|Q,N
20210804|ACA|83569|0|126963|Q,N
20210804|ACAD|290123|5124|493465|B,Q,N
20210804|ACB|898745|1360|1903360|B,Q,N
20210804|ACBI|12549|100|70100|Q,N
20210804|ACC|36145|0|79811|B,Q,N
20210804|ACCD|54364|0|95927|Q,N
20210804|ACCO|24721|0|73884|Q,N
20210804|ACEL|22548|0|53743|B,Q,N
20210804|ACER|18311|2069|64452|B,Q,N
20210804|ACES|6011|0|19263|Q,N
20210804|ACET|4205|0|21481|Q,N
20210804|ACEV|27721|0|88467|Q,N
20210804|ACEVW|1119|0|11627|Q,N
20210804|ACGL|160229|105|220068|B,Q,N
20210804|ACGLN|6621|0|30161|Q,N
20210804|ACGLO|3607|0|6280|Q,N
20210804|ACGLP|6336|0|9052|Q,N
20210804|ACH|15935|0|26030|Q,N
20210804|ACHC|96923|0|131295|B,Q,N
20210804|ACHL|4677|0|8232|B,Q,N
