Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20210414|A|21|0|381|B
20210414|AA|14571|0|21681|B
20210414|AAC|8|0|8|B
20210414|AAC/U|800|0|800|B
20210414|AACG|95|0|95|B
20210414|AACQ|50|0|4950|B
20210414|AAL|23517|0|77606|B
20210414|AAMC|201|0|301|B
20210414|AAME|1978|0|2178|B
20210414|AAN|1982|0|2722|B
20210414|AAPL|101162|0|208164|B
20210414|AAT|350|0|389|B
20210414|AAWW|550|0|704|B
20210414|AB|628|0|728|B
20210414|ABBV|4582|0|6371|B
20210414|ABC|4|0|13|B
20210414|ABCB|100|0|155|B
20210414|ABCL|850|0|1753|B
20210414|ABEO|300|0|7888|B
20210414|ABEV|1398|0|1799|B
20210414|ABG|281|0|383|B
20210414|ABIO|278|0|279|B
20210414|ABMD|18|0|49|B
20210414|ABNB|9350|0|17839|B
20210414|ABR|1000|0|2700|B
20210414|ABT|733|0|1282|B
20210414|ABUS|8000|0|11770|B
20210414|ACA|3|0|3|B
20210414|ACAD|5|0|1131|B
20210414|ACB|15554|0|24196|B
20210414|ACCD|100|0|1000|B
20210414|ACCO|3|0|3|B
20210414|ACEV|441|0|4122|B
20210414|ACHL|1112|0|1275|B
20210414|ACI|100|0|300|B
20210414|ACIC|142|0|3558|B
20210414|ACII|19|0|519|B
20210414|ACLS|111|0|885|B
20210414|ACMR|152|0|532|B
20210414|ACN|242|0|1340|B
20210414|ACNB|101|0|101|B
20210414|ACP|100|0|102|B
20210414|ACRE|100|0|100|B
20210414|ACRX|400|0|2100|B
20210414|ACST|38788|0|59588|B
20210414|ACTC|179|0|4205|B
20210414|ACU|1|0|1|B
20210414|ACVA|3446|0|4056|B
20210414|ACY|11172|0|20659|B
20210414|ADBE|3222|0|5151|B
20210414|ADC|72|0|72|B
20210414|ADER|20|0|20|B
20210414|ADI|586|0|675|B
20210414|ADIL|100|0|127|B
20210414|ADM|172|0|374|B
20210414|ADN|1100|0|2900|B
