Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20210405|A|71801|1862|218628|Q
20210405|AA|654841|9210|1220993|Q
20210405|AAA|8|0|9|Q
20210405|AAAU|23507|0|42636|Q
20210405|AAC|47405|0|108867|Q
20210405|AAC/U|18|0|29796|Q
20210405|AAC/WS|9772|0|24993|Q
20210405|AACG|12409|214|37881|Q
20210405|AACQ|50128|0|161422|Q
20210405|AACQU|5|0|639|Q
20210405|AACQW|26455|0|48493|Q
20210405|AADR|129|0|848|Q
20210405|AAIC|51065|4|71584|Q
20210405|AAICpB|203|0|303|Q
20210405|AAICpC|612|0|2314|Q
20210405|AAL|3808218|67320|11420400|Q
20210405|AAMC|95|0|985|Q
20210405|AAME|57846|51|126523|Q
20210405|AAN|28953|4|67167|Q
20210405|AAOI|99125|100|495858|Q
20210405|AAON|10937|0|30215|Q
20210405|AAP|132381|577|228884|Q
20210405|AAPL|10602913|74270|30434985|Q
20210405|AAQC/U|53726|0|271747|Q
20210405|AAT|17601|0|46120|Q
20210405|AAU|485030|3424|727892|Q
20210405|AAWW|101408|0|166660|Q
20210405|AAXJ|66726|0|156252|Q
20210405|AB|114330|1393|155878|Q
20210405|ABB|264522|600|401770|Q
20210405|ABBV|1085813|29924|2666229|Q
20210405|ABC|78527|2008|265974|Q
20210405|ABCB|32984|300|54358|Q
20210405|ABCL|325435|6484|629943|Q
20210405|ABCM|19995|0|33922|Q
20210405|ABEO|146734|0|301099|Q
20210405|ABEQ|1600|0|5373|Q
20210405|ABEV|3525862|13689|4656935|Q
20210405|ABG|10964|0|24409|Q
20210405|ABIO|15929|0|72795|Q
20210405|ABM|29175|0|122449|Q
20210405|ABMD|30518|306|61813|Q
20210405|ABNB|442818|3040|773010|Q
20210405|ABR|157566|516|412508|Q
20210405|ABRpA|669|0|819|Q
20210405|ABRpB|555|0|601|Q
20210405|ABRpC|1255|0|1750|Q
20210405|ABST|12546|0|13782|Q
20210405|ABT|569658|5962|1128929|Q
20210405|ABTX|3615|0|6521|Q
20210405|ABUS|134457|0|224460|Q
20210405|AC|509|0|3245|Q
20210405|ACA|190775|0|372179|Q
20210405|ACAC|17352|86|53094|Q
20210405|ACACW|100|0|100|Q
20210405|ACAD|959591|13399|4057126|Q
20210405|ACAHU|13025|0|44744|Q
20210405|ACB|480101|11964|1687667|Q
20210405|ACBI|2765|0|11222|Q
20210405|ACC|131543|0|329228|Q
20210405|ACCD|78316|6700|188200|Q
20210405|ACCO|90183|0|181208|Q
20210405|ACEL|12846|2065|23973|Q
20210405|ACER|13745|26|53543|Q
20210405|ACES|17425|0|49854|Q
20210405|ACET|25102|0|46371|Q
20210405|ACEV|31253|0|132253|Q
20210405|ACEVW|4929|0|112420|Q
20210405|ACGL|126780|100|423128|Q
20210405|ACGLO|3098|1213|7885|Q
20210405|ACGLP|5847|0|17597|Q
20210405|ACH|3826|0|29549|Q
20210405|ACHC|54098|2|78229|Q
20210405|ACHL|11567|300|52907|Q
20210405|ACHV|11589|0|20679|Q
20210405|ACI|270244|0|687484|Q
20210405|ACIC|237259|5823|468279|Q
20210405|ACIC/WS|9180|700|90473|Q
20210405|ACII|14839|0|43234|Q
20210405|ACII/U|6886|0|48318|Q
20210405|ACII/WS|1263|0|2263|Q
20210405|ACIO|2738|0|5063|Q
20210405|ACIU|11786|868|54482|Q
20210405|ACIW|36238|0|81919|Q
20210405|ACKIT|80|0|1137|Q
20210405|ACKIU|130|0|1479|Q
20210405|ACKIW|520|0|785|Q
20210405|ACLS|146302|0|276871|Q
20210405|ACM|67475|0|193663|Q
20210405|ACMR|23218|0|46239|Q
20210405|ACN|175063|5746|664678|Q
20210405|ACNB|658|0|1953|Q
20210405|ACND|28827|300|79644|Q
20210405|ACND/U|30|0|42|Q
20210405|ACND/WS|8030|0|8311|Q
20210405|ACOR|22960|0|58959|Q
20210405|ACP|10304|0|47359|Q
20210405|ACQRU|43293|0|311766|Q
20210405|ACR|2304|300|9054|Q
20210405|ACRE|95904|8|265718|Q
20210405|ACRS|143800|673|376413|Q
20210405|ACRX|508153|63|830953|Q
20210405|ACRpC|4280|0|7926|Q
20210405|ACSI|44|0|343|Q
20210405|ACST|969237|73093|2088751|Q
20210405|ACTC|62711|500|222332|Q
20210405|ACTCU|597|0|1052|Q
20210405|ACTCW|36148|0|59878|Q
20210405|ACTDU|9877|0|114464|Q
20210405|ACTG|109884|0|246729|Q
20210405|ACTV|1560|0|4579|Q
20210405|ACU|5478|0|10695|Q
20210405|ACV|3197|0|20407|Q
20210405|ACVA|72862|0|393228|Q
20210405|ACVF|1183|3|2215|Q
20210405|ACWF|705|0|988|Q
20210405|ACWI|354401|2800|529867|Q
20210405|ACWV|76543|0|200155|Q
20210405|ACWX|191470|0|517749|Q
20210405|ACY|11098760|107662|19516428|Q
20210405|ADAG|21|0|1657|Q
20210405|ADAP|48125|491|93114|Q
20210405|ADBE|262005|536|633413|Q
20210405|ADC|62449|0|83564|Q
20210405|ADCT|70067|0|99578|Q
20210405|ADER|6900|0|7900|Q
20210405|ADERW|958|0|30419|Q
20210405|ADES|12544|2610|19898|Q
20210405|ADEX|2650|0|5730|Q
20210405|ADEX/U|561|0|4477|Q
20210405|ADFI|406|0|446|Q
20210405|ADI|365574|3498|593616|Q
20210405|ADIL|30681|1456|122542|Q
20210405|ADIV|236|0|236|Q
20210405|ADM|149151|2054|303413|Q
20210405|ADMA|201920|400|636420|Q
20210405|ADME|3021|0|6866|Q
20210405|ADMP|898884|5524|1494040|Q
20210405|ADMS|5961|0|18412|Q
20210405|ADN|225115|323|264097|Q
20210405|ADNT|59230|0|139553|Q
20210405|ADNWW|21853|88|85184|Q
20210405|ADOC|2500|0|2519|Q
20210405|ADOCR|2782|0|3314|Q
20210405|ADP|141010|4762|249959|Q
20210405|ADPT|100311|4|265697|Q
20210405|ADRA|1200|0|1200|Q
20210405|ADRA/U|15549|0|16514|Q
20210405|ADRA/WS|2000|0|6111|Q
20210405|ADRE|3369|0|28886|Q
20210405|ADS|78863|0|147008|Q
20210405|ADSK|97448|3112|209049|Q
20210405|ADT|719224|2721|1922177|Q
20210405|ADTN|28087|0|37233|Q
20210405|ADTX|38248|0|88195|Q
20210405|ADUS|2574|0|8142|Q
20210405|ADV|68599|0|106470|Q
20210405|ADVM|57363|10|129251|Q
20210405|ADVWW|389|0|389|Q
20210405|ADX|21314|0|89990|Q
20210405|ADXN|93|0|322|Q
20210405|ADXS|671934|19317|2043426|Q
20210405|AE|1483|0|3615|Q
20210405|AEAC|1987|0|2688|Q
20210405|AEACU|79|0|16261|Q
20210405|AEB|3852|0|4200|Q
20210405|AEE|80351|2852|242395|Q
20210405|AEF|4425|0|13295|Q
20210405|AEFC|9765|4894|21073|Q
20210405|AEG|119754|2678|239045|Q
20210405|AEGN|4625|0|47461|Q
20210405|AEHL|78099|518|162150|Q
20210405|AEHR|35104|0|66496|Q
20210405|AEI|313804|313|628345|Q
20210405|AEIS|79594|0|164352|Q
20210405|AEL|42550|0|98460|Q
20210405|AELpA|3021|300|8861|Q
20210405|AELpB|5358|2546|11984|Q
20210405|AEM|87191|2|248392|Q
20210405|AEMD|30861|100|77634|Q
20210405|AENZ|16589|232|16733|Q
20210405|AEO|371138|13645|699546|Q
20210405|AEP|198392|3559|357854|Q
20210405|AEPPL|6209|0|7493|Q
20210405|AEPPZ|18061|0|46272|Q
20210405|AER|49098|0|289089|Q
20210405|AERI|68577|69|105916|Q
20210405|AES|830698|9471|2207958|Q
20210405|AESC|100|0|187072|Q
20210405|AESE|178321|2357|513511|Q
20210405|AESR|4955|0|12724|Q
20210405|AEVA|115724|104|264466|Q
20210405|AEVA/WS|1532|0|2901|Q
20210405|AEY|12153|3000|29086|Q
20210405|AEYE|16294|454|28185|Q
20210405|AEZS|723566|5558|1539126|Q
20210405|AFAQU|420|0|1817|Q
20210405|AFB|6310|0|29692|Q
20210405|AFBI|1831|0|1932|Q
20210405|AFCG|7544|0|27669|Q
20210405|AFG|28104|0|71564|Q
20210405|AFGB|2336|0|2932|Q
20210405|AFGC|524|0|2514|Q
20210405|AFGD|3285|2000|3472|Q
20210405|AFI|13523|602|68467|Q
20210405|AFIB|31619|0|100949|Q
20210405|AFIF|7453|0|19788|Q
20210405|AFIN|91358|1324|160663|Q
20210405|AFINO|14151|0|30543|Q
20210405|AFINP|5121|0|8058|Q
20210405|AFK|1738|0|4309|Q
20210405|AFL|110737|4413|365782|Q
20210405|AFLG|170|0|190|Q
20210405|AFMD|196321|3|690232|Q
20210405|AFRM|198203|946|395506|Q
20210405|AFSM|800|0|800|Q
20210405|AFT|6161|0|23098|Q
20210405|AFTY|3|0|47|Q
20210405|AFYA|17453|0|44887|Q
20210405|AG|196100|4981|792246|Q
