Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20210428|A|6751|0|23906|N
20210428|AA|48484|0|152145|N
20210428|AAA|2|0|2|N
20210428|AAAU|1353|0|3790|N
20210428|AAC|100|0|203|N
20210428|AAC/U|100|0|290|N
20210428|AAC/WS|361|0|3094|N
20210428|AACG|7137|0|21535|N
20210428|AACQ|15155|0|24429|N
20210428|AACQW|8601|0|10850|N
20210428|AAIC|7081|0|10924|N
20210428|AAICpC|640|0|765|N
20210428|AAL|1283486|0|2841419|N
20210428|AAMC|2065|0|4663|N
20210428|AAME|2447|0|19445|N
20210428|AAN|15021|0|40226|N
20210428|AAOI|4749|0|17166|N
20210428|AAON|165|0|924|N
20210428|AAP|2036|0|7462|N
20210428|AAPL|4707208|1700|9049960|N
20210428|AAQC/U|1925|0|1972|N
20210428|AAT|504|0|606|N
20210428|AAU|29364|0|83618|N
20210428|AAWW|3154|0|6432|N
20210428|AAXJ|394|0|4753|N
20210428|AB|4013|0|33165|N
20210428|ABB|11641|0|22406|N
20210428|ABBV|78435|0|201269|N
20210428|ABC|7191|0|11703|N
20210428|ABCB|970|0|1570|N
20210428|ABCL|10721|0|18440|N
20210428|ABCM|131|0|1607|N
20210428|ABEO|29667|0|49299|N
20210428|ABEV|434721|0|913310|N
20210428|ABG|259|0|1805|N
20210428|ABIO|10305|0|58485|N
20210428|ABM|891|0|8243|N
20210428|ABMD|3533|0|8057|N
20210428|ABNB|94360|0|215666|N
20210428|ABR|21033|0|60879|N
20210428|ABST|2329|0|2457|N
20210428|ABT|37752|500|74910|N
20210428|ABTX|6|0|110|N
20210428|ABUS|35177|0|73802|N
20210428|ACA|318|0|2887|N
20210428|ACAC|1648|0|5991|N
20210428|ACAD|8105|0|52178|N
20210428|ACAH|108|0|108|N
20210428|ACAHU|200|0|300|N
20210428|ACB|216637|0|1038171|N
20210428|ACBI|138|0|2341|N
20210428|ACC|6841|2|10340|N
20210428|ACCD|1530|0|4167|N
20210428|ACCO|17896|0|28594|N
20210428|ACEL|968|0|1562|N
20210428|ACER|1579|0|16162|N
20210428|ACES|1944|0|2921|N
20210428|ACET|984|0|2344|N
20210428|ACEV|11957|0|23485|N
20210428|ACGL|21353|0|59213|N
20210428|ACGLO|44|0|373|N
20210428|ACGLP|900|0|1231|N
20210428|ACH|1043|0|2484|N
20210428|ACHC|944|0|4681|N
20210428|ACHL|744|0|1836|N
20210428|ACHV|3762|0|7009|N
20210428|ACI|16514|0|80435|N
20210428|ACIC|20366|0|38358|N
20210428|ACIC/WS|2464|0|3281|N
20210428|ACII|100|0|100|N
20210428|ACIO|687|0|4916|N
20210428|ACIU|934|0|17769|N
20210428|ACIW|3025|0|6297|N
20210428|ACKIT|1|0|1|N
20210428|ACLS|1507|0|4786|N
20210428|ACM|609|0|5190|N
20210428|ACMR|2235|0|3241|N
20210428|ACN|10704|0|21281|N
20210428|ACNB|216|0|316|N
20210428|ACND|505|0|2502|N
20210428|ACOR|2263|0|8579|N
20210428|ACP|7602|0|15061|N
20210428|ACR|2330|0|6729|N
20210428|ACRE|2778|0|10664|N
20210428|ACRS|1638|0|9937|N
20210428|ACRX|47886|0|141299|N
20210428|ACRpC|993|0|1118|N
20210428|ACSI|21|0|22|N
20210428|ACST|643221|13133|1453514|N
20210428|ACTC|17877|0|60738|N
20210428|ACTCU|82|0|282|N
20210428|ACTCW|525|0|1075|N
20210428|ACTDU|5|0|5|N
20210428|ACTG|4201|0|16959|N
20210428|ACU|637|0|2175|N
20210428|ACV|150|0|2483|N
20210428|ACVA|5525|0|13045|N
20210428|ACVF|549|0|751|N
20210428|ACWF|67|0|488|N
20210428|ACWI|6509|0|17302|N
20210428|ACWV|1066|0|12497|N
20210428|ACWX|2178|0|5147|N
20210428|ACY|8862|0|20494|N
20210428|ADAG|156|0|389|N
20210428|ADAP|9020|0|25094|N
20210428|ADBE|12463|0|31445|N
20210428|ADC|1170|0|2251|N
20210428|ADCT|6253|0|9149|N
20210428|ADES|2404|0|3753|N
20210428|ADEX|51|0|51|N
20210428|ADEX/WS|296|0|297|N
20210428|ADI|13166|0|32950|N
20210428|ADIL|301|0|3624|N
20210428|ADIV|47|0|47|N
20210428|ADM|45188|200|88164|N
20210428|ADMA|18744454|6454|37190931|N
20210428|ADME|337|0|689|N
20210428|ADMP|267883|0|542564|N
20210428|ADMS|4936|0|22648|N
20210428|ADN|1421|0|3526|N
20210428|ADNT|1537|0|6394|N
20210428|ADOCW|2400|0|4500|N
20210428|ADP|35968|100|57034|N
20210428|ADPT|4352|0|9188|N
20210428|ADRA|2|0|3|N
20210428|ADRA/WS|1000|0|2566|N
20210428|ADRE|319|0|786|N
20210428|ADS|3034|0|9244|N
20210428|ADSK|3861|0|10474|N
20210428|ADT|22129|0|85424|N
20210428|ADTN|92|0|717|N
20210428|ADTX|1783|0|8604|N
20210428|ADUS|791|0|1114|N
20210428|ADV|1802|0|5606|N
20210428|ADVM|1350|0|12433|N
20210428|ADX|3774|0|6217|N
20210428|ADXN|30|0|67|N
20210428|ADXS|416498|0|728379|N
20210428|AE|65|0|122|N
20210428|AEACW|2100|0|2900|N
20210428|AEB|93|0|133|N
20210428|AEE|1690|0|4448|N
20210428|AEF|2204|0|4594|N
20210428|AEFC|1325|0|1325|N
20210428|AEG|9801|0|31141|N
20210428|AEGN|1614|0|9284|N
20210428|AEHL|2340|0|27353|N
20210428|AEHR|13165|0|22422|N
20210428|AEI|3990|0|18168|N
20210428|AEIS|2874|0|11155|N
20210428|AEL|244|0|2147|N
20210428|AEM|9293|0|21743|N
20210428|AEMD|2617|0|5343|N
20210428|AENZ|43054|0|106158|N
20210428|AEO|10636|0|49586|N
20210428|AEP|33666|0|86272|N
20210428|AEPPL|1077|0|1277|N
20210428|AEPPZ|1445|0|1525|N
20210428|AER|6729|0|26644|N
20210428|AERI|5602|0|7961|N
20210428|AES|29041|0|63388|N
20210428|AESC|530|0|879|N
20210428|AESE|104917|0|199781|N
20210428|AESR|25|0|29|N
20210428|AEVA|19166|0|48164|N
20210428|AEY|79|0|2355|N
20210428|AEYE|3989|0|8253|N
20210428|AEZS|133315|424|426652|N
20210428|AFB|3078|0|10336|N
20210428|AFBI|325|0|402|N
20210428|AFCG|444|0|1579|N
20210428|AFG|85|0|5496|N
20210428|AFGB|34|0|39|N
20210428|AFGC|20|0|20|N
20210428|AFI|151|0|4115|N
20210428|AFIB|801|0|1687|N
20210428|AFIF|5|0|13|N
20210428|AFIN|8190|0|19386|N
20210428|AFINO|150|0|175|N
20210428|AFINP|444|0|724|N
20210428|AFK|32|0|145|N
20210428|AFL|37497|0|47091|N
20210428|AFLG|4|0|8|N
20210428|AFMD|38884|0|91091|N
20210428|AFRM|32375|0|61271|N
20210428|AFSM|750|0|750|N
20210428|AFT|1000|0|1108|N
20210428|AFTY|84|0|131|N
20210428|AFYA|1004|0|3264|N
20210428|AG|141728|0|241050|N
20210428|AGAC|202|0|1021|N
20210428|AGAC/WS|1250|0|2050|N
20210428|AGBAR|2161|0|19554|N
20210428|AGBAW|694|0|5694|N
20210428|AGC|22556|0|68624|N
20210428|AGCB|2727|0|7491|N
20210428|AGCO|5445|0|12335|N
20210428|AGCUU|101|0|2901|N
20210428|AGCWW|408|0|908|N
20210428|AGD|11|0|739|N
20210428|AGE|7461|1|11440|N
20210428|AGEN|88580|39|210679|N
20210428|AGFS|3883|0|6662|N
20210428|AGFY|2209|0|10021|N
20210428|AGG|70334|0|122470|N
20210428|AGGY|3697|0|6288|N
20210428|AGI|39599|0|92273|N
20210428|AGIO|2063|0|4004|N
20210428|AGL|2896|0|7366|N
20210428|AGLE|3497|0|5258|N
20210428|AGM|121|0|152|N
20210428|AGMH|4|0|81|N
20210428|AGNC|307719|60|453680|N
20210428|AGNCN|682|600|861|N
20210428|AGNCO|300|0|801|N
20210428|AGNCP|249|0|1603|N
20210428|AGNG|378|0|748|N
20210428|AGO|5016|0|8929|N
20210428|AGOpB|80|0|80|N
20210428|AGOpE|100|0|201|N
20210428|AGQ|28904|0|57432|N
20210428|AGR|3205|0|8095|N
20210428|AGRO|7896|0|54925|N
20210428|AGRX|69530|0|94587|N
20210428|AGS|5955|0|13013|N
20210428|AGTC|14431|263|86453|N
20210428|AGTI|1291|0|13649|N
20210428|AGX|308|0|1210|N
20210428|AGYS|266|0|1245|N
20210428|AGZ|947|0|3871|N
20210428|AGZD|17|0|499|N
20210428|AHAC|658|0|5039|N
20210428|AHACW|900|0|919|N
20210428|AHC|18617|0|38556|N
20210428|AHCO|9765|0|26109|N
20210428|AHH|2614|0|9172|N
20210428|AHLpC|1191|0|2462|N
20210428|AHLpE|39|0|307|N
20210428|AHPI|3000|0|12270|N
20210428|AHT|2842380|4000|7100315|N
20210428|AHTpI|320|0|320|N
20210428|AI|47233|0|127710|N
20210428|AIA|1457|0|6436|N
20210428|AIEQ|38|0|1028|N
20210428|AIF|100|0|100|N
20210428|AIG|16175|0|30340|N
20210428|AIGpA|100|0|136|N
20210428|AIH|100|0|289|N
20210428|AIHS|52011|0|157105|N
20210428|AIKI|319102|0|934702|N
20210428|AIM|14570|0|35891|N
20210428|AIMC|719|0|1531|N
20210428|AIN|1343|0|3170|N
20210428|AINC|2550|0|4817|N
20210428|AINV|3404|0|8625|N
20210428|AIO|1771|0|1890|N
20210428|AIQ|204|0|255|N
20210428|AIR|1233|0|7056|N
20210428|AIRC|1685|0|5556|N
20210428|AIRG|1095|0|1335|N
20210428|AIRI|11891|0|37253|N
20210428|AIRR|1316|0|3909|N
20210428|AIRT|1|0|158|N
20210428|AIT|357|0|858|N
20210428|AIV|42054|0|100494|N
20210428|AIW|500|0|500|N
20210428|AIZ|746|10|1518|N
20210428|AJAX|767|0|9951|N
20210428|AJG|14686|0|25675|N
20210428|AJRD|1325|0|8286|N
20210428|AJX|1559|0|3895|N
20210428|AKAM|13691|0|26238|N
